File.Name,Source.Short,Table,Group.Type,Taxon,Species,N,Full.Citation
Holekamp1991-1.csv,Holekamp1991,Fig1,Natural,Carnivore,Crocuta crocuta,13,"Holekamp, K. E. & Smale, L. 1991 Dominance acquisition during mammalian social development: the“ inheritance” of maternal rank. Am. Zool. 31, 306–317."
Holekamp1993-1a.csv,Holekamp1993,Tb1a,Natural,Carnivore,Crocuta crocuta,18,"Holekamp, K. E. & Smale, L. 1993 Ontogeny of dominance in free-living spotted hyaenas: juvenile rank relations with other immature individuals. Anim. Behav. 46, 451–466."
Isbell1998-A.csv,Isbell1998,Fig1A,Natural,Primate,Cercopithecus aethiops,9,"Isbell, L. A. & Pruetz, J. D. 1998 Differences between vervets (Cercopithecus aethiops) and patas monkeys (Erythrocebus patas) in agonistic interactions between adult females. Int. J. Primatol. 19, 837–855."
Isbell1998-B.csv,Isbell1998,Fig1B,Natural,Primate,Erythrocebus patas,17,"Isbell, L. A. & Pruetz, J. D. 1998 Differences between vervets (Cercopithecus aethiops) and patas monkeys (Erythrocebus patas) in agonistic interactions between adult females. Int. J. Primatol. 19, 837–855."
Ito1993-2a.csv,Ito1993,Tb2a,Captive,Social Insect,Pachycondyla sp.,8,"Ito, F . 1993 Functional monogyny and dominance hierarchy in the queenless ponerine ant Pachycondyla (= Bothroponera) sp. in West Java, Indonesia (Hymenoptera, Formicidae, Ponerinae). Ethology 95, 126–140."
Ito1993-3a.csv,Ito1993,Tb3a,Captive,Social Insect,Pachycondyla sp.,15,"Ito, F . 1993 Functional monogyny and dominance hierarchy in the queenless ponerine ant Pachycondyla (= Bothroponera) sp. in West Java, Indonesia (Hymenoptera, Formicidae, Ponerinae). Ethology 95, 126–140."
Ito1993-4a.csv,Ito1993,Tb4a,Captive,Social Insect,Pachycondyla sp.,11,"Ito, F . 1993 Functional monogyny and dominance hierarchy in the queenless ponerine ant Pachycondyla (= Bothroponera) sp. in West Java, Indonesia (Hymenoptera, Formicidae, Ponerinae). Ethology 95, 126–140."
Izar2006-2.csv,Izar2006,Tb2,Natural,Primate,Cebus apella,17,"Izar, P., Ferreira, R. & Sato, T. 2006 Describing the organization of dominance relationships by dominance-directed tree method. Am. J. Primatol. 68, 189–207."
Jenks1995-3.csv,Jenks1995,Tb3,Captive,Carnivore,Crocuta crocuta,11,"Jenks, S. M., Weldele, M. L., Frank, L. G. & Glickman, S. E. 1995 Acquisition of matrilineal rank in captive spotted hyaenas: emergence of a natural social system in peer-reared animals and their offspring. Anim. Behav. 50, 893–904."
Kaufmann1974-7.csv,Kaufmann1974,Tb7,Natural,Marsupial,Macropus parryi,21,"Kaufmann, J. H. 1974 Social ethology of the whiptail wallaby, Macropus parryi, in northeastern New South Wales. Anim. Behav. 22, 281–369."
Kikkawa1980-1.csv,Kikkawa1980,Tb1,Captive,Bird,Zosterops lateralis,10,"Kikkawa, J. 1980 Weight changes in relation to social hierarchy in captive flocks of silvereyes, Zosterops lateralis. Behaviour 74, 92–100."
Koenig2004-1b.csv,Koenig2004,Tb1b,Natural,Primate,Trachypithecus phayrei,7,"Koenig, A., Larney, E., Lu, A. & Borries, C. 2004 Agonistic behavior and dominance relationships in female phayre's leaf monkeys-preliminary results. Am. J. Primatol. 64, 351–357."
Kohda1991-2.csv,Kohda1991,Tb2,Natural,Fish,Tropheus moorii,31,"Kohda, M. 1991 Intra-and interspecific social organization among three herbivorous cichlid fishes in Lake Tanganyika. Ichthyol. Res. 38, 147–163."
Kolodziejczyk2005-1.csv,Kolodziejczyk2005,Tb1,Natural,Bird,Haliaeetus albicilla,13,"Kolodziejczyk, M., Kloskowski, J. & Krogulec, J. 2005 Lack of social hierarchy in wintering white-tailed eagles (Haliaeetus albicilla) when scavenging. Ethol. Ecol. Evol. 17, 181–188."
Korstjens2002-1.csv,Korstjens2002,Tb1,Natural,Primate,Colobus polykomos,9,"Korstjens, A. H., Sterck, E. H. M. & Noë, R. 2002 How adaptive or phylogenetically inert is primate social behaviour? A test with two sympatric colobines. Behaviour 2, 203–225."
Koutnik1981-3.csv,Koutnik1981,Tb3,Natural,Ungulate,Odocoileus hemionus,8,"Koutnik, D. L. 1981 Sex-related differences in the seasonality of agonistic behavior in mule deer. J. Mammal. 62, 1–11."
Lahti1994-A.csv,Lahti1994-A,Tb1A,Natural,Bird,Parus montanus,6,"Lahti, K., Koivula, K., Orell, M. 1994 Is the social hierarchy always linear in tits? J. Avian Biol. 25, 347–348."
Lahti1994-C.csv,Lahti1994-C,Tb1C,Natural,Bird,Parus montanus,8,"Lahti, K., Koivula, K., Orell, M. 1994 Is the social hierarchy always linear in tits? J. Avian Biol. 25, 347–348."
Lee1979-1.csv,Lee1979,Fig1,Natural,Primate,Papio cynocephalus,15,"Lee, P. C. & Oliver, J. I. 1979 Competition, dominance and the acquisition of rank in juvenile yellow baboons (Papio cynocephalus). Anim. Behav. 27, 576–585."
Lee1979-2.csv,Lee1979,Fig2,Natural,Primate,Papio cynocephalus,8,"Lee, P. C. & Oliver, J. I. 1979 Competition, dominance and the acquisition of rank in juvenile yellow baboons (Papio cynocephalus). Anim. Behav. 27, 576–585."
Lott1979-1.csv,Lott1979,Tb1,Natural,Ungulate,Bison bison,26,"Lott, D. F. 1979 Dominance relations and breeding rate in mature male American bison. Ethology 49, 418–432."
Lott1987-1.csv,Lott1987,Tb1,Captive,Ungulate,Bison bison,11,"Lott, D. F. & Galland, J. C. 1987 Body mass as a factor influencing dominance status in American bison cows. J. Mammal. 68, 683–685."
Lu2008-1c.2.csv,Lu2008-2,Fig1c(2),Natural,Primate,Semnopithecus entellus,13,"Lu, A., Koenig, A. & Borries, C. 2008 Formal submission, tolerance and socioecological models: a test with female Hanuman langurs. Anim. Behav. 76, 415–428."
Marler1955b.csv,Marler1957-B,Tb1b,Natural,Bird,Fringilla coelebs,8,"Marler, P. 1955 Studies of fighting in chaffinches (1) Behaviour in relation to the social hierarchy. Anim. Behav. 3, 111–117."
Masure1934-3.csv,Masure1934,Tb3,Captive,Bird,Columba livia,7,"Masure, R. H. & Allee, W. C. 1934 The social order in flocks of the common chicken and the pigeon. Auk 51, 306–327."
Mather1985.csv,Mather1985,Tb1,Captive,Invert,Eledone moschata,6,"Mather, J. A. 1985 Behavioural interactions and activity of captive Eledone moschata: laboratory investigations of a “social” octopus. Anim. Behav. 33, 1138–1144."
McMahan1984-1.csv,McMahan1984,Tb1,Captive,Primate,Papio cynocephalus,10,"McMahan, C. A. & Morris, M. D. 1984 Application of maximum likelihood paired comparison ranking to estimation of a linear dominance hierarchy in animal societies. Anim. Behav. 32, 374–378."
Moller1987-1.csv,Møller1987,Tb1,Captive,Bird,Passer domesticus,13,"Møller, A. 1987 Variation in badge size in male house sparrows Passer domesticus: evidence for status signalling. Anim. Behav. 35, 1637–1644."
Moller1987-2.csv,Møller1987,Tb2,Captive,Bird,Passer domesticus,10,"Møller, A. 1987 Variation in badge size in male house sparrows Passer domesticus: evidence for status signalling. Anim. Behav. 35, 1637–1644."
Moller1987-3.csv,Møller1987,Tb3,Captive,Bird,Passer domesticus,14,"Møller, A. 1987 Variation in badge size in male house sparrows Passer domesticus: evidence for status signalling. Anim. Behav. 35, 1637–1644."
Monnin1999-1.csv,Monnin1999,Tb1,Captive,Social Insect,Dinoponera quadriceps,6,"Monnin, T. & Peeters, C. 1999 Dominance hierarchy and reproductive conflicts among subordinates in a monogynous queenless ant. Behav. Ecol. 10, 323–332."
Murray2007-3.csv,Murray2007,Tb5,Natural,Primate,Pan troglodytes,18,"Murray, C. M. 2007 Method for assigning categorical rank in female Pan troglodytes schweinfurthii via the frequency of approaches. Int. J. Primatol. 28, 853–864."
Myrberg1972-3.csv,Myrberg1972,Fig3,Captive,Fish,Eupomacentrus partitus,8,"Myrberg, A. A. Jr. 1972 Social dominance and territoriality in the bicolor damselfish, Eupomacentrus partitus (Poey) (Pisces: Pomacentridae). Behaviour 41, 207–231."
Myrberg1974-17.csv,Myrberg1974,Fig17,Captive,Fish,Sphyrna tiburo,10,"Myrberg, A. A. Jr. & Gruber, S. H. 1974 The behavior of the bonnethead shark, Sphyrna tiburo. Copeia 2, 358–374."
Nakano1994-1.csv,Nakano1994,Tb1,Natural,Fish,Oncorhynchus masou,11,"Nakano, S. 1994 Variation in agonistic encounters in a dominance hierarchy of freely interacting red-spotted masu salmon (Oncorhynchus masou ishikawai). Ecol. Freshw. Fish 3, 153–158."
Nakano1995-2.csv,Nakano1995,Tb2,Natural,Fish,Salvelinus leucomaenis,14,"Nakano, S. 1995 Competitive interactions for foraging microhabitats in a size-structured interspecific dominance hierarchy of two sympatric stream salmonids in a natural habitat. Can. J. Zool. 73, 1845–1854."
Natoli1991-2.csv,Natoli1991,Tb2,Natural,Carnivore,Felis catus,14,"Natoli, E. & De Vito, E. 1991 Agonistic behaviour, dominance rank and copulatory success in a large multi-male feral cat, Felis catus L., colony in central Rome. Anim. Behav. 42, 227–241."
Nelissen1985-2.csv,Nelissen1985,Tb2,Captive,Fish,Melanochromis auratus,7,"Nelissen, M. H. J. 1985 Structure of the dominance hierarchy and dominance determining “group factors” in Melanochromis auratus (Pisces, Cichlidae). Behaviour 94, 85–107."
Ortius1995-2a.csv,Ortius1995,Fig2a,Captive,Social Insect,Leptothorax sp.,6,"Ortius, D. & Heinze, J. 1995 Dynamics and consequences of hierarchy formation in the ant Leptothorax sp. A. Ethology 99, 223–233."
